KAM,Nº DO PEDIDO,CLIENTE,DATA RECEBIMENTO SM,DATA RECEBIMENTO OFICIAL (PEDIDO COMPLETO),DATA APROVAÇÃO NO TOTVS,DATA ENVIO PARA O PD,PENDÊNCIAS (MOTIVO)
Marcelo Leite,LIVSUN526082,SUNO DISTRIBUIDORA SOLAR LTDA,,13/5/2026,24/5/2026,24/5/2026,Incluir pedido no Totvs
Anna Julia Junkes,1352847598,SEBASTIÃO ANICESIO CAIXETA,,20/5/2026,,1/6/2026,Incluir no Totvs
Kelly Li,LIVPAR526085,PARKSTROM DO BRASIL LTDA,,15/5/2026,25/5/2026,25/5/2026,"o produto 303 não existe e a Kelly autorizou enviar o 302. Pedido ficou parado!
Pedi para a Erika e Artur alterarem para Fortaleza o armazem"
Kelly Li,LIVPAU626119,PAULO OCTAVIO INVESTIMENTOS IMOBILIÁRIOS LTDA,,21/5/2026,,5/6/2026,
Kelly Li,LIVPAU526088,PAULO OCTAVIO INVESTIMENTOS IMOBILIÁRIOS LTDA,,21/5/2026,,5/6/2026,
Kelly Li,LIVNEO526090B,NEOCHARGE LTDA,,21/5/2026,27/5/2026,27/5/2026,kELLY INFORMOU QUE É O MESMO SUNOSURE. Pedido refeito várias vezes
Beatriz Sales,LIVGRE526071,GREENV MOBILIDADE ELETRICA BRASIL S.A,,22/5/2026,25/5/2026,25/5/2026,
Leonardo Dib,LIVAMA526092,AMARA NET ZERO BRASIL LTDA,,26/5/2026,26/5/2026,26/5/2026,
Kariny Maciel,LIVCIN526093,CINCATARINA - MUNICÍPIO DE URUSSANGA,,20/5/2026,,,
Kelly Li,LIVNEO526095,NEOCHARGE LTDA,,27/5/2026,1/6/2026,1/6/2026,INFORMAR A QTDADE QUE FALTA
Flora,LIVMBP526074,MBPAR LTDA,,22/5/2026,28/5/2026,28/5/2026,sem aprovação da Fiona.
Wilton Moura,LIVPBRA0001376,BRASCOM LTDA,,8/5/2026,28/5/2026,28/5/2026,
Anna Julia Junkes,1349614419,GRAMARCA VEÍCULOS LTDA,,12/5/2026,,28/5/2026,Incluir no sistema.
Beatriz Sales,1356577276,RUBI ASIA VEICULOS LTDA,,28/5/2026,1/6/2026,28/5/2026,Aguardando cadastro e alteração da condição de pagto para 30 dias
Marcelo Leite,LIVOIW626110,OIW INDUSTRIA ELETRONICA S.A,,21/5/2026,2/6/2026,2/6/2026,"Incluir no sistema. Transferir demanda de Curitiba para Fortaleza (CIF).
Não temos estoque para retrabalho"
Marcelo Leite,LIVOIW526106,OIW INDUSTRIA ELETRONICA S.A,,22/5/0206,29/5/2026,29/5/2026,Falta pagamento da entrada.
Marcelo Leite,LIVOIW526107,OIW INDUSTRIA ELETRONICA S.A,,22/5/0206,29/5/2026,29/5/2026,Falta pagamento da entrada.
Marcelo Leite,LIVOIW526108,OIW INDUSTRIA ELETRONICA S.A,,3/6/2026,,8/6/2026,Cliente alterou a quantidade de novo e divide em dois pedidos.
Marcelo Leite,LIVOIW626111,OIW INDUSTRIA ELETRONICA S.A,,3/6/2026,,3/6/2026,Falta pagamento da entrada. Cliente alterou a quantidade de novo e divide em dois pedidos.
